The car was used all day;Voz pasiva
Maria sent the message yesterday;Voz activa
The message was sent yestarday by Maria;Voz pasiva
The man must have drunk six beers;Voz activa
Six beers must have drunk by the man;Voz pasiva
Picasso was painting Guernica at that time.;Voz activa
The cleaner has cleaned the office.;Voz activa
He had written three books before 1867.;Voz activa
People speak Portuguese in Brazil.;Voz activa
They finished the work today;Voz activa
The work was finished today;Voz pasiva
The mother bathed her baby;Voz activa
The baby was bathed by his mother;Voz pasiva
They picked the apple yesterday;Voz activa
The apples were picked yesterday;Voz pasiva
I had cleaned all the windows before the storm.;Voz activa
The breads were baked this morning;Voz pasiva
He took her money;Voz activa
Her money was taken;Voz pasiva
They activated the levers;Voz activa
The levers were activated by them;Voz pasiva
He manufactured the rings last month;Voz activa
The rings were manufactured last month;Voz pasiva
The doctor looked after the patients;Voz pasiva
Those barbecue ribs were eaten by you;Voz activa
You ate those barbecue ribs;Voz pasiva
You developed the program yesterday;Voz activa
The program was developed yesterday;Voz pasiva
The scouts washed the flags;Voz activa
The flags were washed by the scouts;Voz pasiva
Harry ate six shrimp at dinner;Voz activa
James might cook dinner.;Voz activa
My uncle raise sugar cane in Hawaii;Voz activa
Sugar cane is raised by my uncle in Hawaii;Voz pasiva
I keep the butter in the fridge;Voz activa
The butter is kept in the fridge;Voz pasiva
John is keeping my house tidy;Voz activa
My house is being kept tidy;Voz pasiva
Mary kept her schedule meticulously;Voz activa
Mary's schedule was kept meticulously;Voz pasiva
The theater was keeping a seat for you;Voz activa
A seat was being kept for you;Voz pasiva
I have kept all your old letters;Voz activa
All your old letters have been kept;Voz pasiva
He had kept up his training regimen for a month;Voz activa
His training regimen had been kept up for a month;Voz pasiva
Mark will keep the ficus;Voz activa
The ficus will be kept;Voz pasiva
Sheila is drinking a cup of tea.;Voz activa
My father is washing the car.;Voz pasiva
I would have kept your bicycle here if you had left it with me;Voz activa
Your bicycle would have been kept here if you had left it with me;Voz pasiva
She wants to keep the book;Voz activa
The book wants to be kept;Voz pasiva
Judy was happy to have kept the puppy;Voz activa
The puppy was happy to have been kept;Voz pasiva
I have a feeling that you may be keeping a secret;Voz activa
I have a feeling that a secret may be being kept;Voz pasiva
I am writing a poem.;Voz activa
We are not playing football.;Voz activa
Many people know Napa Valley for its excellent wines;Voz activa
Napa Valley is known for its excellent wines;Voz pasiva
Leonaro Da Vinci painted the Mona Lisa;Voz activa
The Mona Lisa was painted by Leonardo Da Vinci;Voz pasiva
He is not wearing a tie.;Voz activa
Ms Sullivan teaches us grammar.;Voz activa
My father made wine from grapes;Voz activa
Wine is made from grapes;Voz pasiva
They made many cars in Japan;Voz activa
Many cars are made in Japan;Voz pasiva
He is sending the document right now;Voz activa
The document is being sent right now;Voz pasiva
My boss is sending me to work in the London office;Voz activa
I am being sent to work in the London office;Voz pasiva
They invited John to speak at the conference;Voz activa
John was invited to speak at the conference;Voz pasiva
Daniel invited us to his wedding with Mary;Voz activa
We were invited to Daniel and Mary’s wedding;Voz pasiva
They were washing the dog when I got home;Voz activa
The dog was being washed when I got home;Voz pasiva
Charles were washing their cars while they were in the mall shopping;Voz activa
Their cars were being washed while they were in the mall shopping;Voz pasiva
They will sign the contract tomorrow;Voz activa
The contract will be signed tomorrow;Voz pasiva
They will sign all the documents next week;Voz activa
The documents will all be signed by next week;Voz pasiva
They are going to build a bridge within the next two years;Voz activa
A bridge is going to be built within the next two years;Voz pasiva
City Hall is going to build new houses in our neighborhood;Voz activa
New houses are going to be built in our neighborhood;Voz pasiva
They sold that start-up for $5 million;Voz activa
That start-up has been sold for $5 million;Voz pasiva
The teacher praised him.;Voz activa
The firemen took the injured to the hospital.;Voz activa
They hired the new manager before John left the company;Voz activa
The new manager had been hired before John left the company;Voz pasiva
They hired all the employees before the store opened;Voz activa
All the employees had hired before the store opened;Voz pasiva
They will have loaded the crates by then;Voz activa
The crates will have been loaded by then;Voz pasiva
they must stop the criminals before committing their crimes;Voz activa
Criminals must be stopped before they commit crimes;Voz pasiva
Alexander Fleming discovered Penicillin in 1928;Voz activa
Penicillin was discovered by Alexander Fleming in 1928;Voz pasiva
They are taking the statements from all witnesses at this moment;Voz activa
Statements are being taken from all the witnesses at this moment;Voz pasiva
An international ban on whaling must protect the whales;Voz activa
Whales must be protected by an international ban on whaling;Voz pasiva
Good Taste catered both weddings;Voz activa
Both weddings were catered by Good Taste;Voz pasiva
They steal a Picasso from the Metropolitan Museum of Art;Voz activa
A Picasso was stealed from the Metropolitan Museum of Art;Voz pasiva
Frederick painted the house last week;Voz activa
The house was painted by Frederick last week;Voz pasiva
People drink champagne on New Year’s Eve;Voz activa
Champagne is drunk on New Year’s Eve;Voz pasiva
Chefs use these machines to mix the ingredients;Voz activa
These machines are used to mix the ingredients;Voz pasiva
They renovated the restaurant in 2004;Voz activa
The restaurant was renovated in 2004;Voz pasiva
The teachers informed the students that the class had been cancelled;Voz activa
The students were informed that the class had been cancelled;Voz pasiva
Alice posted the letter.;Voz activa
John Mathews built this house in 1991.;Voz activa
They consider that New York is the most diverse city in the U.S.;Voz activa
New York is considered the most diverse city in the U.S.;Voz pasiva
They believe that Amelia Earhart's planed crashed in Pacific Ocean;Voz activa
It is believed that Amelia Earhart’s plane crashed in Pacific Ocean;Voz pasiva
Doctors think that the skin cancers are caused by excessive exposure to the sun;Voz activa
Skin cancers are thought to be caused by excessive exposure to the sun;Voz pasiva
The people see Hungarian as one of the most dificult languages to learn;Voz activa
Hungarian is seen as one of the world’s most difficult languages to learn;Voz pasiva
The people elected George Washinton as president in 1788;Voz activa
George Washington was elected president in 1788;Voz pasiva
John Kimble killed two people by shooting them on Friday night;Voz activa
Two people were killed in a drive-by shooting on Friday night;Voz pasiva
The fox ate pancakes;Voz activa
Pancakes were eaten by fox;Voz pasiva
Andres is eating his dinner;Voz activa
Dinner is being eaten by him;Voz pasiva
Today the dog took a test;Voz activa
Today a test was taken by the dog;Voz pasiva
Many people can speak chinese;Voz activa
Chinese is spoken by many people;Voz pasiva
I made the chocolate cookies;Voz activa
The chocolates cookies were made by me;Voz pasiva
Very few people own pet skunks;Voz activa
Pet skunks are owned by very few people;Voz pasiva
You can cook popcorn on the stove;Voz activa
Popcorn can be cooked on the stove;Voz pasiva
The cat burned the popcorn;Voz activa
The popcorn was burned by the cat;Voz pasiva
The dog bit my hand;Voz activa
My hand was bitten by the dog;Voz pasiva
My auntie will bake cookies for my birthday.;Voz pasiva
The cookies for my birthday will be baked by my auntie.;Voz pasiva
I must write an essay for Monday.;Voz activa
The essay must be written on Sunday afternoon.;Voz pasiva
Sandra is helping her cousin to find house.;Voz activa
Sandra is cousin is been helped to find house.;Voz pasiva
We must have learned this theme for the test.;Voz activa
This theme must have been learned for the test.;Voz pasiva
Harry has been repairing his car.;Voz activa
The car has been repaired by Harry.;Voz pasiva
I have seeing this program all the week.;Voz activa
This program has been seen all the week by me.;Voz pasiva
You can do it;Voz activa
This homework can’t be done;Voz pasiva
I will think of you.;Voz activa
You will be tough by me.;Voz pasiva
Madeleine has been traveling to Paris every week.;Voz activa
Her luggage has been traveled with her;Voz pasiva
They follow the ice cream car.;Voz activa
The ice cream car is followed by the children.;Voz pasiva
The boy is picked up by her mother every day.;Voz pasiva
The wall has been painted blue.;Voz pasiva
A lie was told by someone in this room.;Voz pasiva
The stolen money was found by the police.;Voz pasiva
Nothing can be done.;Voz pasiva
The book was written by his grandmother.;Voz pasiva
The pirate left the treasure where it could not be found.;Voz pasiva
The song was written by me.;Voz pasiva
The sweater was made by my girlfriend.;Voz pasiva
These facts have been checked.;Voz pasiva
More important matters must be discussed.;Voz pasiva
Better results can be expected.;Voz pasiva
She was nowhere to be found.;Voz pasiva
Mary enjoys the view.;Voz activa
The boys play basketball;Voz activa
She well wear the pink dress;Voz activa
Thomas told a lie.;Voz activa
Dad will arrive soon.;Voz activa
The mailman brought two letters.;Voz activa
I do not know the answer;Voz activa
You might win the race;Voz activa
He could play the piano very well;Voz activa
I well call you tomorrow;Voz activa
Francis builds a house;Voz activa
His new book was just published;Voz pasiva
She was nowhere to be found;Voz pasiva
The cake was not correctly prepared;Voz pasiva
The girl was raised in boarding schools;Voz pasiva
The fire was intentionally started;Voz pasiva
The doctor was received at the airport;Voz pasiva
The company was founded in 1990;Voz pasiva
Jim writes a letter;Voz activa
A letter is written by Jim;Voz pasiva
Jim wrote a letter;Voz activa
A letter was written by Jim;Voz pasiva
The street is swept by Julia;Voz pasiva
The cookies for my birthday will be baked by my auntie.;Voz pasiva
I must write an essay for Monday.;Voz activa
Sandra is helping her cousin to find house;Voz activa
We must have learned this theme for the test.;Voz activa
Harry has been repairing his car;Voz activa
The car has been repaired by Harry;Voz pasiva
I have seeing this program all the week;Voz activa
This program has been seen all the week by me;Voz pasiva
You can do it;Voz activa
You will be tough by me;Voz pasiva
The ice cream car is followed by the children;Voz pasiva
The building was design by a German Architect;Voz pasiva
The city was destroyed by earthquake;Voz pasiva
The letter has been sent by my father;Voz pasiva
Two suspects have been arrested by police;Voz pasiva
The war was followed by a political crisis;Voz pasiva
The money was returned by Kelly;Voz pasiva
The thief was captured by the police;Voz pasiva
The report has been finished by Mary;Voz pasiva
The concert was enjoyed by the audience;Voz pasiva
That book was written by Wilde;Voz pasiva
A dancing class was started by my sister last week;Voz pasiva
The cake will be eaten by Walter;Voz pasiva
The mail is delivered by Andy every day;Voz pasiva
The city was captured by the enemy;Voz pasiva
His house was destroyed by the fire;Voz pasiva
The doll house was built by Susana;Voz pasiva
Susana built the doll house;Voz activa
We were questioned by the police;Voz pasiva
The letter will be written by the manager;Voz pasiva
John writes the letter;Voz activa
The letter is written by John;Voz pasiva
John is writing the letter;Voz activa
The boy is picked up by her mother every day;Voz pasiva
The letter is being written by John;Voz pasiva
John wrote the letter;Voz activa
The letter was written by John;Voz pasiva
John was writing the letter;Voz activa
The letter was being written by John;Voz pasiva
John has written the letter;Voz activa
The letter has been written by John;Voz pasiva
John had written the letter;Voz activa
The letter had been written by John;Voz activa
John will write the letter;Voz activa
The letter will be written by John;Voz pasiva
John is going to write the letter;Voz activa
The letter is going to be written by John;Voz pasiva
Bartholdi designed the Statue of Liberty;Voz activa
The French gave the statue;Voz activa
The Statue of Liberty was designed by bartholdi;Voz pasiva
The house is cleaned by Sandra;Voz pasiva
Sugar cane is raised by some people in Hawaii.;Voz pasiva
The hunter killed the lion.;Voz activa
The lion was killed by the hunter.;Voz pasiva
Someone has cleaned the windows;Voz activa
The windows have been cleaned;Voz pasiva
I gave him a book for his birthday;Voz activa
He was given a book for his birthday.;Voz pasiva
Someone sent her a cheque for a thousand euros;Voz activa
She was sent a cheque for a thousand euros.;Voz pasiva
They called off the meeting.;Voz activa
The meeting was called off.;Voz pasiva
His grandmother looked after him.;Voz activa
He was looked after by his grandmother.;Voz pasiva
They will send him away to school;Voz activa
He will be sent away to school.;Voz pasiva
I write a letter;Voz activa
A letter is written by me;Voz pasiva
The girl was washing the dog.;Voz activa
The dog was being washed by the girl.;Voz pasiva
The fox ate pancakes.;Voz activa
Pancakes were eaten by the fox.;Voz pasiva
He is eating dinner.;Voz activa
Dinner is being eaten by him.;Voz pasiva
Today the fox took a test.;Voz activa
Today a test was taken by the fox.;Voz pasiva
A letter is written by Joe.;Voz pasiva
My house is being kept tidy by my sister;Voz pasiva
A school was built by the government;Voz pasiva
The whole city has been destroyed by the earthquake;Voz pasiva
An article had been published by Michael;Voz pasiva
The dog will be kept by my mother.;Voz pasiva
We will be waiting for you.;Voz activa
The boys play basketball;Voz activa
Mary enjoys the view.;Voz activa
Alice posted the letter.;Voz activa
A novel is being read by Mary;Voz pasiva
She’ll wear the pink dress.;Voz activa
John and Lucy were watching television;Voz activa
The mailman brought two letters;Voz activa
John and Lucy were watching television.;Voz activa
The kids are enjoying the game.;Voz activa
My auntie will bake cookies for my birthday;Voz activa
The cookies for my birthday will be baked by my auntie;Voz pasiva
A stone was being thrown by the kid ;Voz pasiva
A car has been bought by him ;Voz pasiva
Sam repaired the car;Voz activa
The car was repaired by Sam;Voz pasiva
The salesman was helping the customer when the thief came into the store;Voz activa
The customer was being helped by the salesman when the thief came into the store;Voz pasiva
Many tourists have visited that castle;Voz activa
That castle has been visited by many tourists;Voz pasiva
The door had been knocked at by someone;Voz pasiva
The fish is eaten by the cat;Voz pasiva
George had repaired many cars before he received his mechanic's license;Voz activa
Many cars had been repaired by George before he received his mechanic's license;Voz pasiva
Chef Jones had been preparing the restaurant's fantastic dinners for two years before he moved to Paris;Voz activa
The restaurant's fantastic dinners had been being prepared by Chef Jones for two years before he moved to Paris;Voz pasiva
I must write an essay for Monday.;Voz activa
Sandra’s cousin is been helped to find house.;Voz pasiva
Sandra is helping her cousin to find house.;Voz activa
The essay must be written on Sunday afternoon.;Voz pasiva
We must have learned this theme for the test.;Voz activa
This theme must have been learned for the test.;Voz pasiva
The car has been repaired by Harry.;Voz pasiva
This program has been seen all the week by me.;Voz pasiva
 I have seeing this program all the week.;Voz activa
Harry has been repairing his car.;Voz activa
Madeleine has been traveling to Paris every week.;Voz activa
Her luggage has been traveled with her.;Voz pasiva
They follow the ice cream car.;Voz activa
The ice cream car is followed by the children.;Voz pasiva
The war was followed by a political crisis;Voz activa
The mailman was bitten by the dog.;Voz activa
The child was found in the forest.;Voz pasiva
Taxes to be raised next year.;Voz activa
The building was design by a German Architect.;Voz pasiva
The thief was captured by the police.;Voz pasiva
The government has decided to raise taxes next year.;Voz pasiva
Someone will finish the work by 5:00 PM;Voz activa
The work will be finished by 5:00 PM;Voz pasiva
Sally is going to make a beautiful dinner tonight;Voz activa
A beautiful dinner is going to be made by Sally tonight;Voz pasiva
 John will be washing the dishes;Voz activa
The dishes will be being washed by John;Voz pasiva
John is going to be washing the dishes;Voz activa
The dishes are going to be being washed by John;Voz pasiva
They will have completed the project before the deadline;Voz activa
The project will have been completed before the deadline;Voz pasiva
They are going to have completed the project before the deadline;Voz activa
The project is going to have been completed before the deadline;Voz pasiva
The famous artist will have been painting the mural for over six months by the time it is finished;Voz activa
The mural will have been being painted by the famous artist for over six months by the time it is finished;Voz pasiva
The famous artist is going to have been painting the mural for over six months by the time it is finished;Voz activa
The mural is going to have been being painted by the famous artist for over six months by the time it is finished;Voz pasiva
Jerry used to pay the bills;Voz activa
The bills used to be paid by Jerry;Voz pasiva
My mother would always make the pies;Voz activa
The pies would always be made by my mother;Voz pasiva
I knew John would finish the work by 5:00 PM;Voz activa
I knew the work would be finished by 5:00 PM;Voz pasiva
I thought Sally was going to make a beautiful dinner tonight;Voz activa
I thought a beautiful dinner was going to be made by Sally tonight;Voz pasiva
The results were published in the Journal of the American Medical Association;Voz pasiva
A fair grading system was found to be important to all students;Voz pasiva
He is taken to school by his mum;Voz pasiva
They are being bullied;Voz pasiva
Have you been interviewed for many jobs?;Voz pasiva
We were told not to touch anything;Voz pasiva
Our computers were being attacked by hackers;Voz pasiva
His mother had been brought up in India;Voz pasiva
Arrangements will be made to move them to other locations;Voz pasiva
All the merchandise will have been shipped by tomorrow;Voz pasiva
France beat Brazil in the final;Voz activa
More than 300 million people speak Spanish;Voz activa
"Jack 	will take the matter forward";Voz activa
God loves all men;Voz activa
Birds build nests;Voz activa
Dog eats bones;Voz activa
All men are loved by God;Voz pasiva
Nests are built by birds;Voz pasiva
Bones are eaten by dog;Voz pasiva
Columbus discovered America;Voz activa
America was discovered by Columbus;Voz pasiva
Who did this work?;Voz activa
By whom was this work done?;Voz pasiva
Open the window;Voz activa
Let the window be opened;Voz pasiva
He is writing a letter;Voz activa
A letter is being written by him;Voz pasiva
The work will be finished by me;Voz activa
I will finish the work;Voz pasiva
Somebody cleaned the room yesterday;Voz activa
The room was cleaned yesterday;Voz pasiva
We must keep the rule;Voz activa
The rule must be kept by us;Voz pasiva
You bought a book;Voz activa
A book have been bought by you;Voz pasiva
He closed the window;Voz activa
The window was closed by him;Voz pasiva
She was writing letters;Voz activa
Letters were being written by her;Voz pasiva
I had posted a letter;Voz activa
A letter had been posted by me;Voz pasiva
I do not drink tea;Voz activa
Tea is not drunk by me;Voz pasiva
She does not eat a mango;Voz activa
A mango is not eaten by her;Voz pasiva
He will have finished his work;Voz activa
The work will have been finished by him;Voz pasiva
They are digging a well;Voz activa
A well is being dug by them;Voz pasiva
Help me;Voz activa
Let me be helped;Voz pasiva
Sing a song;Voz activa
Let a song be sing;Voz pasiva
Open the door;Voz activa
Let the door be opened;Voz pasiva
Don’t eat this fruit;Voz activa
Let not this fruit be eaten;Voz pasiva
Are you writing a letter?;Voz activa
Is a letter being written by you?;Voz pasiva
Is she beating the child?;Voz activa
Is the child beaten by her?;Voz pasiva
Will you accept the position?;Voz activa
Will the position be accepted by you?;Voz pasiva
Who broke the window?;Voz activa
By whom was the window broken?;Voz pasiva
"Why did you write such a letter?	";Voz activa
Why was such a letter written by you?;Voz pasiva
Where can you hide this box?;Voz activa
Where can this box be hidden by you?;Voz pasiva
Francis builds a house;Voz activa
Pierre is making a lemon pie;Voz activa
The thief was finally arrested;Voz activa
The police finally arrested the thief;Voz pasiva
We were taught grammar;Voz activa
The teacher taught us grammar;Voz pasiva
My purse has been stolen;Voz activa
Somebody has stolen my purse;Voz pasiva
"The patients were looked after	";Voz activa
A house is built by Francis;Voz pasiva
The contract has been signed by Charles;Voz pasiva
Allan had already stolen the car when the police arrived;Voz activa
The car had already been stolen by Allan when the police arrived;Voz pasiva
He is very well known by them;Voz activa
The room was painted by her;Voz activa
The car was bought by his father;Voz activa
That show was given by the actress;Voz activa
The dinner was made by Melanie;Voz activa
The computer was fixed by the engineer;Voz activa
Those grades were changed by a cheater;Voz activa
That bag was bought by Joan;Voz activa
The kids will be punished by their mother;Voz activa
Jason was congratulated by the teacher;Voz activa
Your document has been translated;Voz activa
Your file was downloaded;Voz activa
All the work was made by Rodrigo;Voz activa
My sweter was made in Mexico;Voz activa
That church was built during the 15th century;Voz activa
The ape is going to be received by the specialist;Voz activa
My phone was repaired by Jessica;Voz activa
The text was corrected by tmy english teacher;Voz activa
The water had been contaminated by that Factory;Voz activa
Jerry washes the car;Voz activa
The car is washed by Jerry;Voz pasiva
Kyle is typing the essay;Voz activa
The essay is being typed by Kyle;Voz pasiva
Tanya returned the gift;Voz activa
The gift was returned by Tanya;Voz pasiva
The officer was writing the ticket when the truck sped past us;Voz activa
The ticket was being written by the officer when the truck sped past us;Voz pasiva
Many tourists have visited the Carlsbad Caves;Voz activa
The Carlsbad Caves have been visited by many tourists;Voz pasiva
A book was offered to them by her;Voz pasiva
 The jackpot will be won by her ;Voz pasiva
Joan had taught many international students before she began her job here;Voz activa
Many international students had been taught by Joan before she began her job here;Voz pasiva
Stephen Colbert had been writing comedy routines for many years before he worked on The Daily Show;Voz activa
Comedy routines had been being written by Stephen Colbert for many years before he worked on The Daily Show;Voz pasiva
Someone will open the store at 8:00 AM;Voz activa
The store will be opened at 8:00 AM;Voz pasiva
My sister is going to host a party tonight;Voz activa
A party is going to be hosted by my sister tonight;Voz pasiva
 Lalo will be reading the biology assignment;Voz activa
The biology assignment will be being read by Lalo;Voz pasiva
Mary is going to be washing the dog;Voz activa
The dog is going to be being washed by Mary;Voz pasiva
They will have played ten basketball games before the end of March;Voz activa
Ten basketball games will have been played before the end of March;Voz pasiva
They are going to have played ten basketball games before the end of March;Voz activa
Ten basketball games are going to have been played before the end of March;Voz pasiva
Jose and Margo will have been remodeling the house for over nine months by the time it is completed;Voz activa
The house will have been being remodeled by Jose and Margo for over nine months by the time it is completed;Voz pasiva
Jose and Margo are going to have been remodeling the house for over nine months by the time it is completed;Voz activa
The house is going to have been being painted by Jose and Margo for over nine months by the time it is completed;Voz pasiva
Elise used to drive the bus;Voz activa
The bus used to be driven by Elise;Voz pasiva
My aunt would always make Thanksgiving dinner;Voz activa
Thanksgiving dinner would always be made by my aunt;Voz pasiva
The teacher knew the students would finish the test in an hour;Voz activa
The teacher knew the test would be finished in an hour;Voz pasiva
We thought our class was going to take a test today;Voz activa
We thought a test was going to be taken by our class today;Voz pasiva
The dessert was eaten by those women;Voz activa
People make a lot of wine in La Rioja.;Voz activa
A lot of wine is made in La Rioja.;Voz pasiva
A Chinese factory manufactures these phones.;Voz activa
These phones are manufactured in China.;Voz pasiva
Australians speak English.;Voz activa
English is spoken in Australia.;Voz pasiva
The Romans built this bridge over 2000 years ago.;Voz activa
This bridge was built by the Romans over 2000 years ago.;Voz activa
The Wright brothers invented the airplane in 1903.;Voz activa
The airplane was invented by the Wright Brothers in 1903.;Voz activa
My mother made the cake.;Voz activa
The cake was made by my mother.;Voz activa
Julia bought the new Game of Thrones book;Voz activa
The new Game of Thrones book was bought by Julia;Voz pasiva
Jim writes a letter;Voz activa
A letter is written by Jim;Voz pasiva
Jim wrote a letter;Voz activa
A letter was written by Jim;Voz pasiva
I will finish the project tomorrow.;Voz activa
The project will be finished tomorrow.;Voz pasiva
Peter will make dinner on Saturday.;Voz activa
Dinner will be made by Peter on Saturday.;Voz pasiva
He will receive your letter on Thursday.;Voz activa
Your letter will be received on Thursday.;Voz pasiva
Mary is making tea right now.;Voz activa
The tea is being made right now.;Voz pasiva
Scientists are discovering new planets every day.;Voz activa
New planets are being discovered every day.;Voz pasiva
Businesses are creating new jobs every month.;Voz activa
New jobs are being created every month.;Voz pasiva
A laboratory in Sweden has created a new medicine.;Voz activa
A new medicine has been created in a laboratory in Sweden.;Voz pasiva
Mr Thompson has sold seven cars this month.;Voz activa
Seven cars have been sold this month.;Voz pasiva
The political parties have formed a new government in South Africa.;Voz activa
A new government has been formed in South Africa;Voz pasiva
The cake will be eaten by Walter;Voz pasiva
The mail is delivered by Andy every day;Voz pasiva
The city was captured by the enemy;Voz pasiva
His house was destroyed by the fire;Voz pasiva
The doll house was built by Susana;Voz pasiva
Susana built the doll house;Voz activa
We were questioned by the police;Voz pasiva
The letter will be written by the manager;Voz pasiva
John writes the letter;Voz activa
The letter is written by John;Voz pasiva
John is writing the letter;Voz activa
Jim will write a letter.;Voz activa
A letter will be written by Jim.;Voz pasiva
Jim has written a letter;Voz activa
A letter has been written by Jim.;Voz pasiva
The letter has been sent by my father;Voz pasiva
Two suspects have been arrested by police;Voz pasiva
The war was followed by a political crisis;Voz pasiva
The money was returned by Kelly;Voz pasiva
The thief was captured by the police;Voz pasiva
Alex posted the video on Facebook.;Voz activa
The video was posted on Facebook by Alex.;Voz pasiva
The director will give you instructions.;Voz activa
Instructions will be given to you by the director.;Voz pasiva
Thousands of tourists view the Grand Canyon every year.;Voz activa
My purse has been stolen;Voz activa
Somebody has stolen my purse;Voz pasiva
The patients were looked after;Voz activa
A house is built by Francis;Voz pasiva
The contract has been signed by Charles;Voz pasiva
Allan had already stolen the car when the police arrived;Voz activa
The car had already been stolen by Allan when the police arrived;Voz pasiva
